Month,rcp45_percipitation_lower,rcp45_percipitation_median,rcp45_percipitation_upper,rcp45_temperature_lower,rcp45_temperature_median,rcp45_temperature_upper,rcp26_percipitation_lower,rcp26_percipitation_median,rcp26_percipitation_upper,rcp26_temperature_lower,rcp26_temperature_median,rcp26_temperature_upper
1,-6.08218173,19.4965925,46.3205392,0.829086016,2.28945875,4.0332384,-15.6846219,10.121821,34.0120253,-0.207788201,1.0902159,2.6352623
2,-13.16696555,10.4321535,33.8633054,0.67641613,1.9229108,3.50077877,-15.1113055,6.70284685,32.6538281,-0.152089362,1.09456395,2.20426172
3,-20.2778242,1.81848315,19.2845784,0.30525229,1.6494731,2.72488844,-16.9406582,-0.064881136,15.6888409,-0.100702493,0.84558508,1.99303439
4,-20.0475943,-3.65428615,11.3368647,0.36990267,1.63289215,2.74000136,-16.0211246,-3.3768345,12.7546704,-0.255105208,1.0465675,1.8012511
5,-40.4501037,-20.790024,1.88018336,0.894711553,2.351189,3.71505234,-25.9791472,-10.5476635,1.80310416,0.257273131,1.27282605,2.49007554
6,-49.8647396,-24.0281375,1.066126387,0.99623594,2.579232,4.11705666,-38.0674429,-18.2037285,-0.321262483,0.049747715,1.5107374,2.83341304
7,-52.1268323,-29.2422265,2.77130165,1.77254818,3.89120125,6.5505382,-50.715379,-24.0155815,-3.32731118,0.884687016,2.10408095,3.62529258
8,-38.942388,-18.2495535,6.9237878,1.60965324,3.50919425,5.67982652,-41.3008553,-17.4556805,6.8268424,0.605820364,1.96162265,3.36056437
9,-36.9404272,-10.5203965,14.008298,1.56873618,3.15703845,4.92215404,-32.8127815,-10.807011,16.6616603,0.302278905,1.52524375,3.69638748
10,-10.8139014,7.51963925,29.3888215,0.855871986,2.1415219,3.82151242,-6.80738815,7.9535284,27.0672321,0.047212022,1.0697236,2.43524521
11,-2.34100979,18.892752,41.424336,0.911668668,1.8410051,3.06605187,-2.27066683,10.764282,28.6301232,-0.045977107,0.92499565,2.06838109
12,-13.5841044,9.7949725,36.8561677,0.462420405,1.9683082,3.31773684,-13.1489245,6.41318165,29.5614298,-0.17654207,0.99765417,1.99793703